Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Status
123000767,Check & Mate,Ali Hazelwood,,,4,3.94,G.P. Putnam's Sons Books for Young Readers,Kindle Edition,362,2023,2023,1/27/25,1/27/25,read
209668781,"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,1649376944,9781649376947,5,4.21,Entangled: Red Tower Books,Kindle Edition,758,2025,2025,1/27/25,1/24/25,read
217038069,"Love Arranged (Lakefront Billionaires, #3)",Lauren Asher,1728292158,9781728292151,0,4.01,Bloom Books,Paperback,560,2025,2025,,2/7/25,to-read
209116165,"Sweet Obsession (Dark Olympus, #8)",Katee Robert,,,0,3.59,Sourcebooks Casablanca,Kindle Edition,336,2025,2025,,2/7/25,to-read
209220944,"Out of the Woods (Out, #2)",Hannah Bonam-Young,0593871863,9780593871867,0,3.9,Dell,Paperback,336,2025,2025,,2/7/25,to-read
123204032,"Right Man, Right Time (The Agitators #3)",Meghan Quinn,1959442066,9781959442066,0,4.1,Meghan Quinn,Paperback,442,2023,2023,,2/7/25,to-read
203579254,The Games Gods Play,Abigail Owen,1649376413,9781649376411,0,4.14,Entangled: Red Tower Books,Hardcover,592,2024,2024,,2/7/25,to-read
201272328,"Love Unwritten (Lakefront Billionaires, #2)",Lauren Asher,172829214X,9781728292144,0,4.08,Bloom Books,Paperback,624,2024,2024,,2/7/25,to-read
216595852,"Blood of Hercules (Villains of Lore, #1)",Jasmine Mas,,9798990413733,0,3.94,HarperVoyager,Paperback,496,2024,2024,,2/7/25,to-read
59808792,"Sorrow and Starlight (Zodiac Academy, #8)",Caroline Peckham,,,0,4.02,Amazon Digital Services,Kindle Edition,1242,2022,2022,,2/7/25,to-read
90382259,"Love Redesigned (Lakefront Billionaires, #1)",Lauren Asher,1728292131,9781728292137,0,4.01,Bloom Books,Paperback,528,2023,2023,,2/7/25,to-read
60234574,"Hunting Adeline (Cat and Mouse, #2)",H.D. Carlton,1957635010,9781957635019,0,4.08,H. D. Carlton,Paperback,649,2022,2022,,2/7/25,to-read
150260809,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,,,5,4.36,Entangled: Red Tower Books,Kindle Edition,886,2023,2023,1/24/25,1/24/25,read
63219094,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,,,5,4.57,Entangled: Red Tower Books,Kindle Edition,665,2023,2023,1/23/25,1/22/25,read
206008049,Always Alchemy (Alchemy),Elodie Hart,,,3,4.18,,Kindle Edition,342,2024,,1/22/25,1/21/25,read
206008048,Unbind (Alchemy #6),Elodie Hart,,,3,4.15,,Kindle Edition,456,2024,,1/21/25,1/20/25,read
199333612,Unstitch (Alchemy #5),Elodie Hart,,,3,4.13,,Kindle Edition,488,2024,,1/20/25,1/16/25,read
197091198,Untether (Alchemy #4),Elodie Hart,,,3,4.06,,Kindle Edition,424,2024,,1/19/25,1/19/25,read
206133832,"Unveil (Alchemy, #3)",Elodie Hart,,,3,4.08,,Kindle Edition,414,2023,2023,1/19/25,1/18/25,read
206133779,"Undulate (Alchemy, #2)",Elodie Hart,,,3,4.09,,Kindle Edition,392,2023,2023,1/17/25,1/17/25,read
206133563,"Unfurl (Alchemy, #1)",Elodie Hart,,,3,3.82,Madderson,Kindle Edition,382,2023,,1/16/25,1/15/25,read
219427435,"Play Along (Windy City, #4)",Liz Tomforde,,,4,4.47,Golden Boy Publishing LLC,Kindle Edition,384,2024,2024,1/15/25,12/6/24,read
199333363,"Caught Up (Windy City, #3)",Liz Tomforde,,,4,4.43,Golden Boy Publishing,Kindle Edition,393,2023,2023,1/14/25,1/14/25,read
